ID,Категория,Сценарий,Альтернатива,Дата_создания,Критерий_Заработная плата,Критерий_Карьерный рост,Критерий_Work-life balance,Критерий_Стабильность,Критерий_Престиж,Критерий_Интерес к работе,Критерий_Возможности обучения,Критерий_Рабочая атмосфера,Тревожность,Временное_давление,Важность_решения,Доступность_информации,Опыт_в_области,Финансовые_ресурсы,Социальная_поддержка,Эмоциональное_состояние,Уверенность_в_себе,Склонность_к_риску,Общая_оценка,Индекс_тревожности,Время_на_решение_часы,Уровень_сложности,Влияние_на_будущее,Обратимость_решения,Количество_заинтересованных_сторон,Критерий_Доходность,Критерий_Риск потерь,Критерий_Ликвидность,Критерий_Минимальная сумма,Критерий_Сроки инвестирования,Критерий_Налоговые льготы,Критерий_Инфляционная защита,Критерий_Простота управления,Критерий_Эмоциональная совместимость,Критерий_Финансовая стабильность,Критерий_Общие ценности,Критерий_Семейные планы,Критерий_Взаимная поддержка,Критерий_Физическая привлекательность,Критерий_Социальный статус,Критерий_Готовность к компромиссам,Критерий_Эффективность,Критерий_Стоимость,Критерий_Безопасность,Критерий_Время на выполнение,Критерий_Доступность,Критерий_Побочные эффекты,Критерий_Научная обоснованность,Критерий_Долгосрочные результаты,Критерий_Цена,Критерий_Местоположение,Критерий_Площадь,Критерий_Состояние жилья,Критерий_Инфраструктура,Критерий_Транспортная доступность,Критерий_Экология,Критерий_Безопасность района,Критерий_Бюджет поездки,Критерий_Климат,Критерий_Культурные достопримечательности,Критерий_Языковой барьер,Критерий_Виза и документы,Критерий_Качество сервиса,Критерий_Отзывы туристов,Критерий_Цена товара,Критерий_Качество,Критерий_Бренд,Критерий_Функциональность,Критерий_Дизайн,Критерий_Гарантия,Критерий_Отзывы покупателей,Критерий_Экологичность,Критерий_Общие интересы,Критерий_Время на общение,Критерий_Эмоциональная поддержка,Критерий_Взаимная выгода,Критерий_Надежность людей,Критерий_Позитивное влияние,Критерий_Географическая близость,Критерий_Личный интерес,Критерий_Стоимость занятий,Критерий_Время на хобби,Критерий_Социальные возможности,Критерий_Развитие навыков,Критерий_Физическая нагрузка,Критерий_Творческое самовыражение,Критерий_Практическая польза,Критерий_Духовная значимость,Критерий_Временные затраты,Критерий_Стоимость обучения,Критерий_Социальное принятие,Критерий_Совместимость с убеждениями,Критерий_Долгосрочное развитие,Критерий_Удобство использования,Критерий_Безопасность данных,Критерий_Стоимость услуг,Критерий_Совместимость,Критерий_Скорость работы,Критерий_Техническая поддержка,Критерий_Обновления и развитие,Критерий_Уровень защиты,Критерий_Стоимость решения,Критерий_Надежность системы,Критерий_Простота использования,Критерий_Скорость реагирования,Критерий_Покрытие рисков,Критерий_Репутация провайдера,Критерий_Гибкость условий
11,Карьера и образование,Повышение квалификации,Вариант_1,2025-02-09 06:42:47.811765,3.4,8.1,5.1,4.8,9.6,10.0,6.0,7.5,Низкая,Нет,Высокая,Недостаточная,Новичок,Значительные,Сильная,Позитивное,Низкая,Принятие,6.8,6,10.1,10,8,Необратимо,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Карьера и образование,Повышение квалификации,Вариант_2,2025-07-29 06:42:47.811813,9.6,1.7,2.7,6.4,7.1,3.1,2.1,9.0,Низкая,Высокое,Низкая,Избыточная,Новичок,Умеренные,Сильная,Позитивное,Высокая,Принятие,5.2,6,157.1,4,6,Легко обратимо,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Карьера и образование,Повышение квалификации,Вариант_3,2025-02-06 06:42:47.811864,2.2,6.8,5.1,9.4,9.4,1.1,6.6,6.1,Низкая,Нет,Средняя,Избыточная,Средний,Ограниченные,Слабая,Негативное,Низкая,Нейтральная,5.8,5,26.9,9,5,Необратимо,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Карьера и образование,Открытие собственного бизнеса,Вариант_1,2024-11-17 06:42:47.811910,3.7,7.0,9.5,2.2,2.0,2.0,6.0,3.5,Высокая,Нет,Высокая,Недостаточная,Эксперт,Значительные,Слабая,Позитивное,Средняя,Нейтральная,4.5,1,16.0,7,5,Легко обратимо,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Карьера и образование,Открытие собственного бизнеса,Вариант_2,2025-03-10 06:42:47.811964,7.9,6.7,3.4,7.7,6.0,4.8,1.1,1.7,Высокая,Нет,Низкая,Достаточная,Эксперт,Значительные,Отсутствует,Нейтральное,Низкая,Избегание,4.9,5,61.6,1,6,Легко обратимо,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Карьера и образование,Открытие собственного бизнеса,Вариант_3,2024-09-20 06:42:47.812010,1.9,8.0,9.0,4.7,6.6,2.4,9.4,8.8,Низкая,Умеренное,Низкая,Недостаточная,Эксперт,Умеренные,Слабая,Позитивное,Высокая,Избегание,6.4,5,27.2,2,7,Легко обратимо,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Карьера и образование,Открытие собственного бизнеса,Вариант_4,2025-05-06 06:42:47.812054,2.8,9.3,4.1,8.4,8.8,3.0,6.9,4.6,Средняя,Нет,Высокая,Достаточная,Эксперт,Значительные,Слабая,Позитивное,Высокая,Нейтральная,6.0,1,19.8,5,3,Необратимо,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Карьера и образование,Открытие собственного бизнеса,Вариант_5,2025-08-08 06:42:47.812099,2.0,4.9,7.6,3.8,6.5,5.6,4.5,6.2,Средняя,Нет,Критическая,Недостаточная,Эксперт,Значительные,Сильная,Позитивное,Высокая,Принятие,5.1,4,61.5,2,6,Необратимо,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Карьера и образование,Переход на удаленную работу,Вариант_1,2025-06-25 06:42:47.812219,7.5,3.7,3.8,4.7,4.6,3.7,2.1,4.8,Средняя,Высокое,Средняя,Избыточная,Эксперт,Умеренные,Слабая,Позитивное,Низкая,Нейтральная,4.4,5,35.7,10,10,Необратимо,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Карьера и образование,Переход на удаленную работу,Вариант_2,2025-01-01 06:42:47.812279,5.0,7.1,5.6,8.1,9.6,7.6,6.9,3.6,Высокая,Высокое,Высокая,Недостаточная,Новичок,Значительные,Слабая,Негативное,Низкая,Избегание,6.7,1,8.2,8,10,Легко обратимо,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Карьера и образование,Переход на удаленную работу,Вариант_3,2025-01-27 06:42:47.812327,9.0,6.2,7.5,4.5,4.6,2.3,7.2,9.0,Низкая,Умеренное,Средняя,Недостаточная,Эксперт,Значительные,Слабая,Негативное,Высокая,Избегание,6.3,2,77.0,8,9,Необратимо,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Карьера и образование,Переход на удаленную работу,Вариант_4,2025-01-13 06:42:47.812419,6.5,7.5,5.5,8.5,5.9,9.1,7.7,5.3,Средняя,Нет,Высокая,Избыточная,Средний,Значительные,Отсутствует,Нейтральное,Средняя,Избегание,7.0,5,39.8,6,6,Необратимо,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Карьера и образование,Переход на удаленную работу,Вариант_5,2025-06-18 06:42:47.812468,2.4,4.4,2.4,2.9,4.7,4.0,5.2,1.6,Средняя,Умеренное,Низкая,Избыточная,Средний,Умеренные,Отсутствует,Нейтральное,Средняя,Нейтральная,3.4,7,90.7,9,10,Легко обратимо,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Карьера и образование,Получение дополнительного образования,Вариант_1,2025-04-10 06:42:47.812517,4.9,1.3,4.0,7.1,4.6,2.5,5.2,2.1,Высокая,Высокое,Низкая,Достаточная,Эксперт,Значительные,Сильная,Негативное,Низкая,Принятие,4.0,7,23.2,8,3,Легко обратимо,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Карьера и образование,Получение дополнительного образования,Вариант_2,2025-02-14 06:42:47.812563,3.9,5.1,4.0,8.9,3.5,9.6,4.8,8.5,Средняя,Нет,Низкая,Достаточная,Новичок,Значительные,Отсутствует,Позитивное,Низкая,Избегание,6.0,4,33.9,1,10,Легко обратимо,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Карьера и образование,Получение дополнительного образования,Вариант_3,2025-06-24 06:42:47.812609,5.3,2.0,9.5,5.2,3.3,4.3,6.5,9.7,Высокая,Нет,Средняя,Достаточная,Новичок,Значительные,Отсутствует,Нейтральное,Высокая,Принятие,5.7,7,66.9,4,2,Необратимо,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Карьера и образование,Смена карьерного пути,Вариант_1,2024-09-05 06:42:47.812658,8.0,8.7,6.4,2.1,9.9,8.0,4.1,4.9,Средняя,Нет,Высокая,Недостаточная,Средний,Умеренные,Отсутствует,Нейтральное,Средняя,Принятие,6.5,8,119.0,7,3,Необратимо,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Карьера и образование,Смена карьерного пути,Вариант_2,2024-10-16 06:42:47.812706,8.3,5.8,5.4,4.9,7.6,3.4,8.7,8.5,Низкая,Умеренное,Критическая,Недостаточная,Средний,Значительные,Сильная,Позитивное,Средняя,Нейтральная,6.6,1,83.3,6,3,Частично обратимо,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Карьера и образование,Смена карьерного пути,Вариант_3,2025-02-27 06:42:47.812751,8.2,4.1,8.9,7.3,3.5,1.1,9.5,1.8,Высокая,Умеренное,Критическая,Избыточная,Новичок,Значительные,Слабая,Позитивное,Высокая,Нейтральная,5.6,8,133.3,2,5,Легко обратимо,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Карьера и образование,Прохождение стажировки,Вариант_1,2025-04-25 06:42:47.812807,3.8,6.2,5.3,5.8,4.8,7.7,4.0,7.3,Средняя,Умеренное,Высокая,Недостаточная,Новичок,Значительные,Отсутствует,Нейтральное,Низкая,Принятие,5.6,9,159.8,3,4,Легко обратимо,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Карьера и образование,Прохождение стажировки,Вариант_2,2025-04-08 06:42:47.812950,7.5,9.8,5.7,3.5,1.9,2.7,3.0,2.6,Низкая,Высокое,Средняя,Достаточная,Новичок,Ограниченные,Сильная,Нейтральное,Высокая,Избегание,4.6,8,17.7,1,10,Частично обратимо,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Карьера и образование,Прохождение стажировки,Вариант_3,2024-12-25 06:42:47.813112,5.0,2.7,1.5,9.5,5.3,8.4,4.6,1.7,Высокая,Высокое,Низкая,Недостаточная,Новичок,Значительные,Слабая,Негативное,Низкая,Избегание,4.8,9,128.5,10,10,Необратимо,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Карьера и образование,Прохождение стажировки,Вариант_4,2024-12-03 06:42:47.813183,4.4,9.2,3.7,6.3,4.9,6.1,1.5,9.6,Низкая,Нет,Средняя,Достаточная,Эксперт,Ограниченные,Отсутствует,Негативное,Низкая,Принятие,5.7,2,26.7,7,8,Необратимо,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Карьера и образование,Прохождение стажировки,Вариант_5,2025-03-31 06:42:47.813234,1.3,3.6,3.5,8.7,1.6,3.1,3.4,8.1,Высокая,Высокое,Средняя,Достаточная,Новичок,Значительные,Отсутствует,Позитивное,Низкая,Нейтральная,4.2,3,12.5,3,5,Необратимо,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Финансы и инвестиции,Выбор инвестиционного портфеля,Вариант_1,2025-06-25 06:42:47.813285,,,,,,,,,Высокая,Умеренное,Высокая,Недостаточная,Новичок,Ограниченные,Сильная,Позитивное,Высокая,Избегание,5.4,5,97.0,3,8,Необратимо,8,5.2,3.7,4.6,3.5,5.9,4.9,6.4,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Финансы и инвестиции,Выбор инвестиционного портфеля,Вариант_2,2025-04-07 06:42:47.813333,,,,,,,,,Низкая,Умеренное,Критическая,Избыточная,Средний,Умеренные,Сильная,Нейтральное,Высокая,Избегание,4.7,8,15.3,5,6,Легко обратимо,7,2.6,6.3,6.7,5.4,1.8,4.1,4.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Финансы и инвестиции,Выбор инвестиционного портфеля,Вариант_3,2024-12-07 06:42:47.813428,,,,,,,,,Средняя,Нет,Средняя,Достаточная,Эксперт,Ограниченные,Слабая,Нейтральное,Высокая,Нейтральная,5.3,2,5.3,10,4,Необратимо,3,8.4,1.0,8.8,5.2,1.5,5.7,6.6,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Финансы и инвестиции,Выбор инвестиционного портфеля,Вариант_4,2025-03-21 06:42:47.813476,,,,,,,,,Средняя,Высокое,Высокая,Избыточная,Эксперт,Умеренные,Слабая,Нейтральное,Средняя,Избегание,6.1,8,92.8,7,4,Необратимо,3,6.0,6.0,1.8,9.9,9.2,5.2,2.1,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Финансы и инвестиции,Покупка недвижимости как инвестиция,Вариант_1,2025-04-08 06:42:47.813524,,,,,,,,,Высокая,Высокое,Критическая,Недостаточная,Средний,Значительные,Слабая,Нейтральное,Средняя,Принятие,6.2,9,63.7,6,4,Необратимо,4,8.0,8.7,4.1,8.1,3.4,1.0,7.5,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Финансы и инвестиции,Покупка недвижимости как инвестиция,Вариант_2,2024-11-08 06:42:47.813568,,,,,,,,,Высокая,Нет,Критическая,Недостаточная,Новичок,Значительные,Сильная,Нейтральное,Низкая,Нейтральная,6.3,2,88.6,8,1,Необратимо,3,4.4,8.7,4.7,3.9,5.3,9.2,4.4,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Финансы и инвестиции,Покупка недвижимости как инвестиция,Вариант_3,2025-01-30 06:42:47.813612,,,,,,,,,Средняя,Высокое,Критическая,Достаточная,Эксперт,Значительные,Слабая,Позитивное,Низкая,Принятие,5.6,2,39.8,5,4,Необратимо,2,8.8,9.7,1.7,8.0,3.4,6.6,4.6,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Финансы и инвестиции,Создание финансового резерва,Вариант_1,2025-07-08 06:42:47.813659,,,,,,,,,Средняя,Умеренное,Критическая,Недостаточная,Новичок,Значительные,Слабая,Позитивное,Высокая,Избегание,3.7,3,29.8,10,7,Необратимо,4,7.8,7.3,1.9,2.5,3.7,1.3,3.9,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Финансы и инвестиции,Создание финансового резерва,Вариант_2,2024-12-16 06:42:47.813702,,,,,,,,,Высокая,Высокое,Средняя,Недостаточная,Средний,Умеренные,Сильная,Нейтральное,Высокая,Нейтральная,5.2,5,77.0,5,4,Частично обратимо,8,9.2,2.3,5.2,3.3,3.3,1.1,8.2,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Финансы и инвестиции,Создание финансового резерва,Вариант_3,2025-07-04 06:42:47.813745,,,,,,,,,Высокая,Высокое,Низкая,Избыточная,Эксперт,Умеренные,Слабая,Негативное,Высокая,Нейтральная,6.2,4,107.1,10,5,Необратимо,3,3.1,6.1,6.2,9.9,3.7,9.8,6.9,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Финансы и инвестиции,Создание финансового резерва,Вариант_4,2024-10-10 06:42:47.813790,,,,,,,,,Средняя,Высокое,Критическая,Недостаточная,Новичок,Ограниченные,Сильная,Нейтральное,Высокая,Принятие,4.4,5,139.6,5,8,Частично обратимо,6,1.9,6.6,1.4,8.1,1.3,4.3,2.2,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Финансы и инвестиции,Выбор банка для депозита,Вариант_1,2024-12-31 06:42:47.813838,,,,,,,,,Средняя,Нет,Критическая,Недостаточная,Средний,Значительные,Отсутствует,Нейтральное,Средняя,Принятие,8.2,5,98.4,6,2,Необратимо,4,9.7,2.3,9.7,8.7,7.5,9.8,9.7,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Финансы и инвестиции,Выбор банка для депозита,Вариант_2,2024-12-29 06:42:47.813883,,,,,,,,,Средняя,Высокое,Критическая,Недостаточная,Новичок,Ограниченные,Отсутствует,Нейтральное,Средняя,Избегание,6.0,2,39.8,9,3,Частично обратимо,8,1.2,9.0,6.1,9.2,3.0,1.6,8.4,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
